customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00098,Female,0,Yes,No,34,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),77.23,2648.04,No
CUST-00099,Male,0,Yes,No,15,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,59.04,875.89,Yes
CUST-00100,Male,0,Yes,No,25,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),87.68,2191.81,No
CUST-00101,Female,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.0,1293.99,No
CUST-00102,Female,0,No,Yes,10,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),58.34,547.17,No
CUST-00103,Female,0,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),21.65,281.77,No
CUST-00104,Female,0,Yes,Yes,46,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,62.48,2860.16,No
CUST-00105,Female,0,Yes,No,69,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),58.09,4021.63,No
CUST-00106,Female,0,No,Yes,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.3,734.09,No
CUST-00107,Female,0,No,No,27,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),77.56,2082.79,Yes
CUST-00108,Female,1,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.0,126.61,No
CUST-00109,Male,1,No,No,17,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),84.89,1436.46,Yes
CUST-00110,Female,0,No,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.0,318.11,No
CUST-00111,Male,0,No,No,17,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,56.76,936.93,No
CUST-00112,Female,0,Yes,No,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.3,1125.56,No
CUST-00113,Female,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,20.0,178.58,Yes
CUST-00114,Male,0,Yes,No,40,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Mailed check,78.52,3130.82,No
CUST-00115,Female,0,No,No,33,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),51.73,1678.57,No
CUST-00116,Male,0,No,No,8,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,46.92,382.74,Yes
CUST-00117,Female,1,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,465.45,No
CUST-00118,Female,0,Yes,No,19,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,87.43,1673.11,Yes
CUST-00119,Male,0,Yes,Yes,72,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.74,5706.44,No
CUST-00120,Female,0,Yes,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.0,1011.07,No
CUST-00121,Male,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.0,1337.32,No
CUST-00122,Female,0,No,No,17,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,93.68,1608.5,Yes
CUST-00123,Male,1,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.66,94.09,Yes
CUST-00124,Male,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Credit card (automatic),70.81,605.96,Yes
CUST-00125,Female,0,No,No,17,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,67.51,1125.62,No
CUST-00126,Female,0,No,No,20,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,No,Electronic check,57.45,1160.24,No
CUST-00127,Male,1,No,No,72,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),66.34,4760.76,No
CUST-00128,Female,0,Yes,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.0,776.85,No
CUST-00129,Female,0,No,No,33,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),55.26,1808.15,No
CUST-00130,Female,0,No,No,59,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),51.26,2994.67,Yes
CUST-00131,Male,0,No,No,37,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,75.63,2785.65,No
CUST-00132,Male,0,Yes,No,43,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),92.88,3976.99,No
CUST-00133,Male,0,Yes,No,19,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,64.29,1234.99,No
CUST-00134,Male,0,Yes,No,6,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),82.51,510.59,No
CUST-00135,Male,0,No,No,5,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Mailed check,83.94,401.89,No
CUST-00136,Male,1,Yes,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.69,104.37,No
CUST-00137,Male,0,No,Yes,40,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,79.98,3205.74,No
CUST-00138,Male,0,No,No,12,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,75.78,934.38,Yes
CUST-00139,Male,0,Yes,No,19,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),84.24,1592.55,No
CUST-00140,Female,0,No,Yes,7,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,55.25,354.04,Yes
CUST-00141,Male,1,No,No,53,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,64.03,3391.95,No
CUST-00142,Female,0,Yes,No,25,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,67.52,1695.64,No
CUST-00143,Female,0,No,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,542.87,Yes
CUST-00144,Female,0,Yes,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.42,850.12,No
CUST-00145,Male,0,Yes,No,35,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),86.03,3018.71,No
CUST-00146,Male,0,No,Yes,55,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,48.1,2656.4,No
CUST-00147,Male,0,No,No,41,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,38.43,1546.61,No
CUST-00148,Male,0,No,No,10,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,53.26,517.5,Yes
CUST-00149,Female,1,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.0,205.62,No
CUST-00150,Male,0,No,No,72,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Mailed check,74.1,5340.32,No
CUST-00151,Male,0,No,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,862.43,No
CUST-00152,Male,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),89.89,6449.52,No
CUST-00153,Male,0,No,No,21,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,77.24,1627.32,No
CUST-00154,Male,0,Yes,Yes,69,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.08,4843.46,No
CUST-00155,Female,0,No,No,35,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,40.04,1421.62,No
CUST-00156,Male,0,Yes,Yes,31,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Credit card (automatic),77.09,2402.45,No
CUST-00157,Female,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.38,432.75,No
CUST-00158,Male,0,Yes,Yes,44,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.35,4166.92,No
CUST-00159,Female,1,No,No,37,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Electronic check,82.83,3059.38,Yes
CUST-00160,Male,0,Yes,No,22,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,84.42,1849.21,Yes
CUST-00161,Male,0,Yes,No,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.71,1042.04,Yes
CUST-00162,Female,0,No,No,22,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,77.34,1724.03,Yes
CUST-00163,Female,0,Yes,No,25,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,50.65,1235.36,Yes
CUST-00164,Female,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.03,381.73,No
CUST-00165,Male,0,Yes,Yes,11,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),48.97,529.5,No
CUST-00166,Female,0,Yes,No,26,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,63.02,1618.28,No
CUST-00167,Male,0,Yes,No,34,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),57.83,1941.46,No
CUST-00168,Male,0,No,No,30,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,61.69,1838.2,Yes
CUST-00169,Female,0,Yes,No,9,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Mailed check,83.08,703.82,Yes
CUST-00170,Female,0,No,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.35,1399.41,No
CUST-00171,Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,92.8,6692.38,Yes
CUST-00172,Male,0,Yes,No,39,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.38,2321.96,No
CUST-00173,Female,0,Yes,Yes,45,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,84.41,3791.97,No
CUST-00174,Female,0,Yes,No,30,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),50.86,1539.35,No
CUST-00175,Female,0,No,No,32,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,88.1,2803.85,No
CUST-00176,Male,0,No,No,5,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),49.9,258.58,No
CUST-00177,Male,0,No,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,25.45,588.06,No
